key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,key_resp_9.rt,keyrespp.keys,keyrespp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,right,1.8183,0,19,19,0,1,drank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,right,2.5135,0,20,20,20,1,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,right,5.0782,0,21,21,21,1,ambulance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,left,1.7056,0,22,22,8,1,college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,right,5.2293,0,23,23,2,1,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,right,2.7888,0,24,24,18,1,screech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,left,2.6468,0,25,25,19,1,wonder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,left,1.7441,0,26,26,9,1,hot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,left,2.9342,0,27,27,16,1,gunshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M24,man,24,4-6h,2021-12-11_18h10.46.274,bachelor,2021.2.3,Win32,60.29181237,IwAR2Q7jZKIq7PnqEC-VFvwAdnbxakit3fX_VvYV9IJgwedJLOMhHyzayGzxI,,,,,,,,,,,space,12.7168,,0,0,0,1,1,10 - 18 + 1 = -9?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
