key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,key_resp_9.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,keyrespp.keys,keyrespp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_10.rt,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,,,,,,,,,,,right,0.067,0,2,2,2,1,10 - 5 - 16 = 21?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,,,,,,,,,,,left,2.929,0,3,3,3,1,2 + 20 x 4 = 82?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,,,,,,,,,,,,,0,4,4,1,1,10 - 18 + 1 = -9?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,,,,,,,,,,,,,,,,,,2 x 40 + 3 = 84?,space,6.049,right,2.672,0,0,0,6,1,RESPONSE RECORDED,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,,,,,,,,,,,,,,,,,,5 x 5 - 29 = -40?,,,right,3.796,0,1,1,7,1,SPEED UP,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,,,,,,,,,,,,,,,,,,54 - 40 x -2 = - 27?,,,right,4.491,0,2,2,8,1,RESPONSE RECORDED,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,,,,,,,,,,,,,,,,,,7 x 11 - 21 = 56?,,,,,0,3,3,9,1,SPEED UP,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,,,,,,,,,,,,,,,,,,2 - 15 + 39 = 27?,,,,,0,4,4,0,1,RESPONSE RECORDED,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,,,,,,,,,,,,,,,,,,14 x 2 + 10 = 38?,,,left,3.28,0,5,5,4,1,CONCENTRATE,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,,,,,,,,,,,,,,,,,,14 x 2 - 3 = 25?,,,left,4.966,0,6,6,13,1,TRY HARDER,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,,,,,,,,,,,,,,,,,,47 + 13 - 7 = 53?,,,left,4.881,0,7,7,11,1,RESPONSE RECORDED,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,,,,,,,,,,,,,,,,,,54 + 60 - 1 = 113?,,,left,3.758,0,8,8,5,1,PAY ATTENTION,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,,,,,,,,,,,,,,,,,,6 - 58 + 11 = -41?,,,,,0,9,9,3,1,RESPONSE RECORDED,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,,,,,,,,,,,,,,,,,,35 - 65 - 20 = - 55?,,,,,0,10,10,10,1,RESPONSE RECORDED,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,,,,,,,,,,,,,,,,,,72 + 17 x 3 = 121?,,,,,0,11,11,2,1,RESPONSE RECORDED,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,,,,,,,,,,,,,,,,,,53 + 13 x 7 = -150?,,,,,0,12,12,12,1,YOU’RE NOT TRYING HARD ENOUGH,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,,,,,,,,,,,,,,,,,,50 x 3 + 12 = 147?,,,left,2.423,0,13,13,1,1,SPEED UP,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,,,,,,,,,,,,,,,,,,56 - 6 x 3 = 33?,,,,,,,,,,SPEED UP,0,right,space,8.926,,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,man,24,7-9h,2021-12-06_20h23.58.551,bachelor,2021.2.3,MacIntel,58.82352941,IwAR08BE4J92EyYVh4OdBtUtbPLHO2nJ7VIy3dZEFJss6joWhAPq22kb2nxKc,,,,,,,,,,,,,,,,,,,,7 - 8 - 9 = -11?,,,,,,,,,,SPEED UP,0,right,,,right,0,1,1,7,1,3.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
