key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,key_resp_9.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,keyrespp.keys,keyrespp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,left,0.182,0,18,18,27,1,applause,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,right,0.1793,0,19,19,22,1,woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,left,0.2169,0,20,20,19,1,wonder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,right,0.1314,0,21,21,11,1,gasp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,left,0.2198,0,22,22,25,1,soccer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,right,0.1702,0,23,23,5,1,cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,left,0.2319,0,24,24,10,1,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,right,0.1308,0,25,25,21,1,ambulance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,left,0.2318,0,26,26,16,1,gunshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,other,8,7-9h,2021-12-01_13h24.12.112,bachelor,2021.2.3,MacIntel,60.0024001,,,right,0.1433,0,27,27,6,1,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
