key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,key_resp_9.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,keyrespp.keys,keyrespp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,right,1.5638,0,10,10,8,1,college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,right,1.2664,0,11,11,1,1,ricochet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,right,1.6384,0,12,12,13,1,belch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,right,0.8705,0,13,13,11,1,gasp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,right,0.7731,0,14,14,22,1,woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,right,1.3949,0,15,15,26,1,eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,left,2.4218,0,16,16,5,1,cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,right,2.6193,0,17,17,16,1,gunshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,right,0.9039,0,18,18,12,1,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,right,1.2403,0,19,19,10,1,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,left,2.8532,0,20,20,0,1,drank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,right,2.1585,0,21,21,4,1,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,right,1.3868,0,22,22,17,1,scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,right,2.3708,0,23,23,19,1,wonder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,left,1.5394,0,24,24,2,1,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,right,0.9381,0,25,25,18,1,screech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,right,1.2974,0,26,26,20,1,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,right,4.5157,0,27,27,14,1,tourist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,,,,,,,,,space,16.2457,right,4.8243,0,0,0,1,1,10 - 18 + 1 = -9?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,,,,,,,,,,,right,3.7334,0,1,1,4,1,11 + 3 - 7 = 8?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,,,,,,,,,,,right,3.1597,0,2,2,0,1,5 x 5 - 10 = 22?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,,,,,,,,,,,right,4.4994,0,3,3,2,1,10 - 5 - 16 = 21?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,,,,,,,,,,,left,2.4009,0,4,4,3,1,2 + 20 x 4 = 82?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Philip,man,24,10-12h,2021-12-02_20h49.38.753,bachelor,2021.2.3,Win32,60.0132029,IwAR2QXWwh8gZK1koYfP-KWOSWoIu4Ii1ih1T5WzlYDBDafJno2SPmhK0a36w,,,,,,,,,,,,,,,,,,,,35 - 65 - 20 = - 55?,space,3.6829,,0,0,0,10,1,RESPONSE RECORDED,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
