key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,key_resp_9.rt,keyrespp.keys,keyrespp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,right,1.6029,0,15,15,13,1,belch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,right,2.6947,0,16,16,15,1,minister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,right,2.0878,0,17,17,5,1,cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,left,2.4877,0,18,18,4,1,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,left,1.3029,0,19,19,12,1,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,right,1.7702,0,20,20,18,1,screech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,left,1.5692,0,21,21,10,1,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,right,1.236,0,22,22,14,1,tourist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,right,1.5194,0,23,23,8,1,college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,right,2.4107,0,24,24,19,1,wonder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,left,1.253,0,25,25,26,1,eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,right,1.4026,0,26,26,21,1,ambulance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,right,1.8551,0,27,27,23,1,fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,space,8.957,,0,0,0,1,1,10 - 18 + 1 = -9?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,right,0,1,1,2,1,10 - 5 - 16 = 21?,4.7153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,right,0,2,2,0,1,5 x 5 - 10 = 22?,3.5517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,left,0,3,3,3,1,2 + 20 x 4 = 82?,3.8916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,right,0,4,4,4,1,11 + 3 - 7 = 8?,4.2169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,53 + 13 x 7 = -150?,,space,5.2787,right,3.1309,0,0,0,12,1,YOU’RE NOT TRYING HARD ENOUGH,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,47 + 13 - 7 = 53?,,,,left,4.6056,0,1,1,11,1,RESPONSE RECORDED,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,35 - 65 - 20 = - 55?,,,,right,3.2489,0,2,2,10,1,RESPONSE RECORDED,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,54 + 60 - 1 = 113?,,,,left,4.7865,0,3,3,5,1,PAY ATTENTION,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,7 x 11 - 21 = 56?,,,,left,3.041,0,4,4,9,1,SPEED UP,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,6 - 58 + 11 = -41?,,,,left,4.2675,0,5,5,3,1,RESPONSE RECORDED,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,5 x 5 - 29 = -40?,,,,right,3.0714,0,6,6,7,1,SPEED UP,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,2 x 40 + 3 = 84?,,,,right,2.6682,0,7,7,6,1,RESPONSE RECORDED,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,50 x 3 + 12 = 147?,,,,right,2.415,0,8,8,1,1,SPEED UP,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,2 - 15 + 39 = 27?,,,,right,3.9339,0,9,9,0,1,RESPONSE RECORDED,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,54 - 40 x -2 = - 27?,,,,left,4.504,0,10,10,8,1,RESPONSE RECORDED,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,14 x 2 - 3 = 25?,,,,,,0,11,11,13,1,TRY HARDER,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,14 x 2 + 10 = 38?,,,,left,2.2507,0,12,12,4,1,CONCENTRATE,1,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,72 + 17 x 3 = 121?,,,,left,2.0864,0,13,13,2,1,RESPONSE RECORDED,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,7 - 8 - 9 = -11?,,,,,,,,,,,SPEED UP,0,right,space,32.7423,right,1.9756,0,0,0,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,17 x 2 - 10 = 24?,,,,,,,,,,,RESPONSE RECORDED,1,left,,,left,2.3507,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,62 - 15 x 3 = 5?,,,,,,,,,,,PAY ATTENTION,0,right,,,right,3.0389,0,2,2,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,33,7-9h,2021-12-20_14h14.37.099,bachelor,2021.2.3,Win32,59.92329818,,,,,,,,,,,,,,,,,,,2 x 40 + 10 = 800?,,,,,,,,,,,RESPONSE RECORDED,0,right,,,right,1.848,0,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
