key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,key_resp_9.rt,keyrespp.keys,keyrespp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_10.rt,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
y,27.5532,space,3.5661,0,0,0,0,1,"
Please complete all tasks. It will take no more than 5-10 minutes.

Press any key to start the experiment",0,,woman,28,10-12h,2021-12-12_22h34.04.519,bachelor,2021.2.3,MacIntel,59.99880002,IwAR1GM1Hb5NvVLdUtLLXx6_cp4lZKlg5jemhIrj8nJ5r0UGBGy7rKYQAj_Us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,28,10-12h,2021-12-12_22h34.04.519,bachelor,2021.2.3,MacIntel,59.99880002,IwAR1GM1Hb5NvVLdUtLLXx6_cp4lZKlg5jemhIrj8nJ5r0UGBGy7rKYQAj_Us,space,21.4197,left,2.6427,0,0,0,1,1,ricochet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,28,10-12h,2021-12-12_22h34.04.519,bachelor,2021.2.3,MacIntel,59.99880002,IwAR1GM1Hb5NvVLdUtLLXx6_cp4lZKlg5jemhIrj8nJ5r0UGBGy7rKYQAj_Us,,,right,2.7129,0,1,1,15,1,minister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,28,10-12h,2021-12-12_22h34.04.519,bachelor,2021.2.3,MacIntel,59.99880002,IwAR1GM1Hb5NvVLdUtLLXx6_cp4lZKlg5jemhIrj8nJ5r0UGBGy7rKYQAj_Us,,,right,4.8209,0,2,2,16,1,gunshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,28,10-12h,2021-12-12_22h34.04.519,bachelor,2021.2.3,MacIntel,59.99880002,IwAR1GM1Hb5NvVLdUtLLXx6_cp4lZKlg5jemhIrj8nJ5r0UGBGy7rKYQAj_Us,,,right,3.5028,0,3,3,25,1,soccer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,28,10-12h,2021-12-12_22h34.04.519,bachelor,2021.2.3,MacIntel,59.99880002,IwAR1GM1Hb5NvVLdUtLLXx6_cp4lZKlg5jemhIrj8nJ5r0UGBGy7rKYQAj_Us,,,left,1.497,0,4,4,8,1,college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,28,10-12h,2021-12-12_22h34.04.519,bachelor,2021.2.3,MacIntel,59.99880002,IwAR1GM1Hb5NvVLdUtLLXx6_cp4lZKlg5jemhIrj8nJ5r0UGBGy7rKYQAj_Us,,,right,2.2531,0,5,5,13,1,belch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,28,10-12h,2021-12-12_22h34.04.519,bachelor,2021.2.3,MacIntel,59.99880002,IwAR1GM1Hb5NvVLdUtLLXx6_cp4lZKlg5jemhIrj8nJ5r0UGBGy7rKYQAj_Us,,,left,1.2474,0,6,6,27,1,applause,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,28,10-12h,2021-12-12_22h34.04.519,bachelor,2021.2.3,MacIntel,59.99880002,IwAR1GM1Hb5NvVLdUtLLXx6_cp4lZKlg5jemhIrj8nJ5r0UGBGy7rKYQAj_Us,,,right,2.898,0,7,7,18,1,screech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,28,10-12h,2021-12-12_22h34.04.519,bachelor,2021.2.3,MacIntel,59.99880002,IwAR1GM1Hb5NvVLdUtLLXx6_cp4lZKlg5jemhIrj8nJ5r0UGBGy7rKYQAj_Us,,,right,2.8473,0,8,8,21,1,ambulance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
